Event,Structure,Birnbaum,Criticality,Fussell-Vesely
BE10,1.0,1.0,0.317892848005232,0.317892848005232
BE9,1.0,1.0,0.2383661906696931,0.2383661906696931
BE14,1.0,1.0,0.1558465946172254,0.1558465946172254
BE15,1.0,1.0,0.1218553620463902,0.1218553620463902
BE5,1.0,1.0,0.10475285509251088,0.10475285509251088
BE11,1.0,0.9999999999999999,0.021591915029272647,0.02159191502927265
BE8,1.0,1.0,0.01881275764926726,0.01881275764926726
BE13,1.0,1.0,0.011116629520021562,0.011116629520021562
BE12,1.0,0.9999999999999999,0.004489408075393322,0.004489408075393323
BE7,1.0,1.0,0.0027791573800053904,0.0027791573800053904
BE6,1.0,1.0,0.0006413440107704746,0.0006413440107704746
BE17,1.0,1.0,0.0004275626738469832,0.0004275626738469832
BE18,1.0,1.0,0.0004275626738469832,0.0004275626738469832
BE2,1.0,1.0,0.0004275626738469832,0.0004275626738469832
BE16,1.0,0.9999999999999999,0.00021378133692349157,0.0002137813369234916
BE1,1.0,0.9999999999999999,0.00021378133692349157,0.0002137813369234916
BE4,0.5,0.0008000000000000229,0.00014468720882982326,0.0001446872088298191
BE3,0.5,0.08460000000000001,0.00014468720882981914,0.0001446872088298191
