,Failure Rate,Unavailability,MTBF,MTTR
BE1,0.0001,0.00463976,2.11329138,49.33773483
BE2,0.0002,0.009914486,0.968772519,48.61070723
BE3,0.0008,0.037272727,0.250775533,48.61824491
BE4,0.0008,0.808197203,0.002275214,48.00665788
BE5,0.0846,0.703491908,0.003999785,47.52005021
BE6,0.049,0.013414186,0.685129038,46.63334489
BE7,0.0003,0.058917083,0.152451469,47.79405644
BE8,0.0013,0.295826174,0.02260445,47.55503154
BE9,0.0088,0.846952847,0.001713182,47.4737064
BE10,0.1115,0.883359441,0.001258123,47.71319849
BE11,0.1487,0.325145255,0.019742986,47.63720911
BE12,0.0101,0.090516883,0.095694772,47.6903836
BE13,0.0021,0.197341459,0.038441501,47.32773876
BE14,0.0052,0.780790609,0.002657373,47.3978991
BE15,0.0729,0.734792008,0.003417673,47.41799123
BE16,0.057,0.004824975,1.906465565,46.28215763
BE17,0.0001,0.009108092,1.039760659,47.83693239
BE18,0.0002,0.009145654,1.009016645,46.65060293
