Sun,PV Module,Circuit Breaker,Diode,Fuse,Cable,System Status
None,OK,OK,Fail,OK,OK,No Output
Good,OK,OK,Fail,OK,OK,High Load
Good,OK,OK,OK,OK,Fail,No Output
Good,Fail,Fail,OK,OK,Fail,No Output
Low,Fail,OK,OK,Blown,OK,No Output
Good,Fail,OK,Fail,Blown,Fail,No Output
Good,Fail,OK,Fail,OK,Fail,No Output
None,Fail,OK,OK,OK,OK,No Output
Low,OK,OK,OK,Blown,Fail,No Output
Low,Fail,OK,Fail,Blown,OK,No Output
None,Fail,OK,OK,OK,OK,No Output
Low,Fail,Fail,OK,Blown,OK,No Output
Good,OK,Fail,Fail,Blown,OK,No Output
Good,Fail,OK,Fail,Blown,Fail,No Output
Good,Fail,OK,OK,Blown,Fail,No Output
None,Fail,Fail,OK,OK,Fail,No Output
Good,OK,OK,OK,OK,Fail,No Output
None,OK,Fail,Fail,Blown,Fail,No Output
None,OK,OK,Fail,Blown,OK,No Output
Low,Fail,OK,Fail,OK,Fail,No Output
None,OK,OK,Fail,OK,OK,No Output
Low,OK,OK,Fail,Blown,OK,No Output
Good,Fail,Fail,OK,OK,OK,No Output
None,OK,OK,Fail,OK,OK,No Output
Good,Fail,OK,Fail,Blown,OK,No Output
None,OK,Fail,Fail,Blown,Fail,No Output
None,Fail,OK,OK,OK,OK,No Output
Low,OK,OK,OK,OK,OK,High Load
None,OK,OK,OK,OK,Fail,No Output
Good,OK,Fail,Fail,OK,OK,No Output
None,Fail,OK,Fail,Blown,OK,No Output
Good,OK,Fail,Fail,Blown,Fail,No Output
Low,OK,OK,OK,Blown,Fail,No Output
Good,OK,OK,OK,Blown,OK,No Output
Low,OK,Fail,Fail,OK,OK,No Output
Low,OK,OK,OK,OK,OK,High Load
Good,Fail,Fail,Fail,OK,Fail,No Output
Good,OK,Fail,OK,Blown,Fail,No Output
Low,Fail,Fail,Fail,OK,OK,No Output
Low,OK,OK,OK,Blown,OK,No Output
Good,Fail,OK,OK,OK,OK,No Output
Good,OK,OK,Fail,OK,OK,High Load
None,OK,OK,Fail,Blown,Fail,No Output
Good,Fail,OK,Fail,Blown,OK,No Output
None,Fail,Fail,Fail,OK,OK,No Output
Low,OK,OK,OK,Blown,OK,No Output
Low,OK,OK,Fail,Blown,OK,No Output
Low,Fail,OK,Fail,OK,OK,No Output
Low,OK,OK,OK,Blown,Fail,No Output
None,OK,Fail,OK,Blown,Fail,No Output
