time_hours,BE1_A(t),BE2_A(t),BE3_A(t),BE4_A(t)
0.0,1.0,1.0,1.0,1.0
5.0,0.96,0.95875,0.94625,0.99125
10.0,0.92375,0.92625,0.8674999999999999,0.97625
15.0,0.8775,0.8875,0.7975,0.9675
20.0,0.84375,0.84375,0.73125,0.955
25.0,0.81625,0.83125,0.69625,0.9525
30.0,0.82625,0.8375,0.6975,0.9525
35.0,0.8425,0.83875,0.7150000000000001,0.955
40.0,0.84125,0.8362499999999999,0.7424999999999999,0.95625
45.0,0.84625,0.8325,0.76125,0.955
50.0,0.845,0.8362499999999999,0.7424999999999999,0.9525
55.0,0.8475,0.82375,0.7324999999999999,0.9475
60.0,0.8475,0.83,0.7175,0.94375
65.0,0.84875,0.8425,0.7025,0.94875
70.0,0.8362499999999999,0.8525,0.68625,0.945
75.0,0.83,0.8375,0.6875,0.95125
80.0,0.8275,0.8362499999999999,0.69625,0.95375
85.0,0.83375,0.83375,0.70875,0.95125
90.0,0.81,0.81375,0.71,0.94875
95.0,0.81375,0.80625,0.70625,0.9425
100.0,0.8225,0.815,0.71875,0.94125
105.0,0.81375,0.815,0.70625,0.9475
110.0,0.8275,0.8175,0.6975,0.95125
115.0,0.835,0.8225,0.69375,0.9525
120.0,0.8362499999999999,0.80875,0.6950000000000001,0.9575
125.0,0.8362499999999999,0.8049999999999999,0.6975,0.9575
130.0,0.84875,0.80625,0.725,0.9525
135.0,0.82625,0.79625,0.745,0.9475
140.0,0.825,0.7925,0.75,0.945
145.0,0.8225,0.80875,0.7375,0.9425
150.0,0.82125,0.80375,0.7262500000000001,0.94125
155.0,0.8125,0.81125,0.7075,0.9425
160.0,0.815,0.8200000000000001,0.6950000000000001,0.93875
165.0,0.81625,0.815,0.69875,0.9325
170.0,0.82875,0.8275,0.7012499999999999,0.94
175.0,0.8200000000000001,0.83875,0.6925,0.93875
180.0,0.83,0.8375,0.70625,0.93875
185.0,0.8225,0.84125,0.69875,0.94
190.0,0.8275,0.8512500000000001,0.72,0.945
195.0,0.8200000000000001,0.83875,0.71625,0.93875
200.0,0.82625,0.83375,0.73375,0.945
205.0,0.8275,0.8362499999999999,0.7224999999999999,0.94875
210.0,0.835,0.84625,0.7362500000000001,0.95125
215.0,0.835,0.835,0.7362500000000001,0.95875
220.0,0.83,0.8425,0.73375,0.96375
225.0,0.8275,0.83125,0.7275,0.97
230.0,0.8175,0.82375,0.7262500000000001,0.97125
235.0,0.81625,0.8175,0.7375,0.96375
240.0,0.80875,0.8225,0.7262500000000001,0.95125
245.0,0.8075,0.82125,0.71375,0.9475
250.0,0.80625,0.8225,0.74,0.945
255.0,0.8200000000000001,0.83125,0.72875,0.94875
260.0,0.83,0.82125,0.74125,0.95625
265.0,0.83875,0.81625,0.75375,0.95625
270.0,0.8362499999999999,0.8200000000000001,0.75625,0.95375
275.0,0.83,0.825,0.73875,0.95
280.0,0.82125,0.8125,0.73,0.94875
285.0,0.8275,0.81375,0.7112499999999999,0.95
290.0,0.82875,0.8125,0.7125,0.94875
295.0,0.83125,0.81125,0.70875,0.94375
300.0,0.81125,0.7975,0.725,0.945
305.0,0.8075,0.8,0.7262500000000001,0.94
310.0,0.795,0.80375,0.7375,0.94125
315.0,0.80625,0.80875,0.7275,0.9425
320.0,0.82125,0.81625,0.70875,0.9475
325.0,0.82875,0.81375,0.71,0.94875
330.0,0.85,0.81625,0.70375,0.95375
335.0,0.86,0.81875,0.72125,0.9525
340.0,0.8425,0.8175,0.7150000000000001,0.94625
345.0,0.84625,0.8200000000000001,0.73375,0.95
350.0,0.8425,0.8275,0.7075,0.9425
355.0,0.84125,0.825,0.7150000000000001,0.9425
360.0,0.83125,0.8325,0.69625,0.9475
365.0,0.83,0.84125,0.7025,0.9525
370.0,0.81125,0.83375,0.7012499999999999,0.95
375.0,0.8125,0.84125,0.7262500000000001,0.9525
380.0,0.8049999999999999,0.81625,0.71625,0.95375
385.0,0.81,0.8049999999999999,0.71375,0.96
390.0,0.8075,0.80625,0.7025,0.9525
395.0,0.81625,0.81625,0.71875,0.945
400.0,0.81375,0.81875,0.7175,0.95
405.0,0.8125,0.84125,0.71875,0.945
410.0,0.8175,0.8425,0.735,0.94
415.0,0.82875,0.84125,0.73,0.9475
420.0,0.84,0.81625,0.7125,0.95625
425.0,0.83,0.82125,0.70875,0.95125
430.0,0.84375,0.8275,0.71875,0.95
435.0,0.84625,0.8200000000000001,0.70875,0.9475
440.0,0.83375,0.82875,0.70875,0.94125
445.0,0.825,0.85375,0.72,0.95125
450.0,0.82125,0.8475,0.71625,0.9525
455.0,0.815,0.84375,0.72875,0.95875
460.0,0.8125,0.84625,0.72875,0.9625
465.0,0.81875,0.84625,0.7375,0.965
470.0,0.81875,0.8375,0.73375,0.955
475.0,0.81125,0.84375,0.74375,0.955
480.0,0.8200000000000001,0.84625,0.735,0.94875
485.0,0.8225,0.8512500000000001,0.7262500000000001,0.95375
490.0,0.825,0.8425,0.71,0.955
495.0,0.83375,0.845,0.7012499999999999,0.96125
500.0,0.84,0.81875,0.6950000000000001,0.9625
505.0,0.8425,0.815,0.69875,0.95875
510.0,0.8425,0.825,0.7025,0.95375
515.0,0.84125,0.8200000000000001,0.685,0.95
520.0,0.83,0.8225,0.7025,0.94375
525.0,0.8362499999999999,0.83875,0.7150000000000001,0.94375
530.0,0.84125,0.84,0.7262500000000001,0.9375
535.0,0.83125,0.84,0.71875,0.93125
540.0,0.8175,0.83875,0.72875,0.9299999999999999
545.0,0.82125,0.8362499999999999,0.735,0.93125
550.0,0.82125,0.83875,0.7150000000000001,0.9299999999999999
555.0,0.815,0.83,0.7150000000000001,0.93375
560.0,0.8200000000000001,0.8275,0.72,0.94875
565.0,0.8275,0.8425,0.7075,0.955
570.0,0.8325,0.84,0.6837500000000001,0.9575
575.0,0.82875,0.8375,0.6799999999999999,0.95875
580.0,0.8362499999999999,0.83,0.6575,0.95875
585.0,0.84125,0.83,0.6725,0.95
590.0,0.8425,0.81875,0.6975,0.945
595.0,0.82125,0.8175,0.6975,0.94125
