Sun PV_Module Circuit_Breaker Diode Fuse Cable High_Load
0 0 0 0 0 0 0
1 0 0 0 0 0 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 1 1 0 1 0 1
0 0 0 1 0 0 0
0 0 0 0 0 0 0
1 0 0 0 0 0 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
1 0 0 0 0 0 1
1 1 0 0 0 0 1
0 0 0 1 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 1 1
0 0 0 0 0 0 0
0 1 1 0 0 0 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 1 0 0 0
0 0 0 0 0 0 0
0 0 1 0 0 0 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 1 1
0 0 0 0 0 1 1
1 0 0 0 0 0 1
1 1 0 0 0 0 1
1 0 0 0 0 0 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 1 0 0 0 0 1
0 1 0 0 0 0 1
0 0 1 0 1 0 1
0 0 0 0 0 0 0
1 0 0 0 0 0 1
0 0 0 1 0 1 1
0 0 0 0 0 0 0
0 0 0 0 1 0 1
0 0 1 0 0 0 1
0 0 1 0 0 0 1
0 0 0 0 0 0 0
1 1 0 0 0 0 1
0 0 0 0 0 0 0
1 0 0 0 0 0 1
1 0 0 0 0 0 1
0 1 0 0 0 0 1
1 0 0 0 0 0 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 1 0 0 0 1
1 0 0 0 0 0 1
0 0 0 0 0 0 0
0 0 0 0 1 0 1
0 0 0 0 0 0 0
0 0 0 1 0 0 0
1 0 0 0 0 0 1
0 0 0 0 0 0 0
1 0 0 0 1 0 1
0 0 0 0 0 0 0
0 0 0 0 1 0 1
0 0 0 0 0 0 0
1 0 0 0 0 0 1
0 0 0 0 0 0 0
0 0 0 0 1 0 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 1 0 0 1 0 1
0 0 0 0 0 0 0
1 0 0 0 0 0 1
0 0 0 0 0 1 1
0 1 0 0 0 0 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 1 0 1 0 0 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
1 0 0 0 0 0 1
0 0 1 1 0 0 1
0 0 0 1 0 0 0
0 0 0 0 0 0 0
0 1 0 0 0 0 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 1 0 1
0 0 0 0 1 0 1
