Event,Structure,Birnbaum,Criticality,Fussell-Vesely
BE1,1.0,1.0,0.0016072372760796369,0.0016072372760796369
BE2,1.0,1.0,0.0032128681182341037,0.0032128681182341037
BE3,0.5,0.007968085162939342,0.00010209513783636881,0.00010209513783636881
BE4,0.5,0.007968085162939342,0.00010209513783636881,0.00010209513783636881
BE5,1.0,0.9999999999999998,0.1304446696621108,0.1304446696621108
BE6,1.0,1.0,0.07689470538869621,0.07689470538869621
BE7,1.0,0.9999999999999997,0.004816894132094249,0.00481689413209425
BE8,1.0,0.9999999999999998,0.020769240807935033,0.02076924080793504
BE9,1.0,0.9999999999999997,0.13545996644674824,0.1354599664467483
BE10,1.0,0.9999999999999998,0.1696621714997586,0.16966217149975862
BE11,1.0,0.9999999999999996,0.22218684897868482,0.2221868489786849
BE12,1.0,0.9999999999999999,0.016159471688637343,0.016159471688637347
BE13,1.0,0.9999999999999997,0.0033733429104144444,0.0033733429104144457
BE14,1.0,0.9999999999999998,0.00834011026926149,0.00834011026926149
BE15,1.0,0.9999999999999997,0.11305526259979777,0.11305526259979781
BE16,1.0,0.9999999999999999,0.08909500968939697,0.08909500968939699
BE17,1.0,0.9999999999999999,0.0016072372760796364,0.0016072372760796369
BE18,1.0,0.9999999999999998,0.003212868118234103,0.0032128681182341037
