,Timestamp,Description,Status,Basic_Event,System_Failure
0,2025-01-03 05:19:33.309536,Grounding system fault detected,Active,BE1,True
1,2025-01-03 16:43:52.263866,PV hot spot detected,Active,BE3,True
2,2025-01-04 05:19:33.309536,Grounding system fault detected,Cleared,BE1,False
3,2025-01-04 07:11:28.781177,PV shading detected,Active,BE2,True
4,2025-01-04 16:43:52.263866,PV hot spot detected,Cleared,BE3,True
5,2025-01-05 06:21:24.121445,PV hot spot detected,Active,BE3,True
6,2025-01-05 07:11:28.781177,PV shading detected,Cleared,BE2,False
7,2025-01-06 06:21:24.121445,PV hot spot detected,Cleared,BE3,False
8,2025-01-07 21:37:11.376355,Grounding system fault detected,Active,BE1,True
9,2025-01-08 17:35:46.094173,PV shading detected,Active,BE2,True
10,2025-01-08 20:47:41.215835,PV hot spot detected,Active,BE3,True
11,2025-01-08 21:37:11.376355,Grounding system fault detected,Cleared,BE1,True
12,2025-01-09 05:15:48.438988,Grounding system fault detected,Active,BE1,True
13,2025-01-09 17:35:46.094173,PV shading detected,Cleared,BE2,True
14,2025-01-09 20:47:41.215835,PV hot spot detected,Cleared,BE3,True
15,2025-01-10 05:15:48.438988,Grounding system fault detected,Cleared,BE1,False
16,2025-01-10 07:37:00.355410,PV hot spot detected,Active,BE3,False
17,2025-01-11 07:37:00.355410,PV hot spot detected,Cleared,BE3,False
18,2025-01-11 21:21:42.464235,PV hot spot detected,Active,BE3,False
19,2025-01-12 21:21:42.464235,PV hot spot detected,Cleared,BE3,False
20,2025-01-13 03:35:34.182609,PV hot spot detected,Active,BE3,False
21,2025-01-13 08:51:07.714027,Grounding system fault detected,Active,BE1,True
22,2025-01-14 03:35:34.182609,PV hot spot detected,Cleared,BE3,True
23,2025-01-14 08:51:07.714027,Grounding system fault detected,Cleared,BE1,False
24,2025-01-14 14:03:44.481190,PV hot spot detected,Active,BE3,False
25,2025-01-14 19:32:41.821144,Open circuit fault detected,Active,BE4,True
26,2025-01-15 14:03:44.481190,PV hot spot detected,Cleared,BE3,False
27,2025-01-15 19:14:08.916688,PV hot spot detected,Active,BE3,True
28,2025-01-15 19:32:41.821144,Open circuit fault detected,Cleared,BE4,False
29,2025-01-16 19:14:08.916688,PV hot spot detected,Cleared,BE3,False
30,2025-01-17 02:41:53.125426,Grounding system fault detected,Active,BE1,True
31,2025-01-18 02:41:53.125426,Grounding system fault detected,Cleared,BE1,False
32,2025-01-18 17:10:20.013723,Grounding system fault detected,Active,BE1,True
33,2025-01-19 17:10:20.013723,Grounding system fault detected,Cleared,BE1,False
34,2025-01-19 19:28:53.196357,PV shading detected,Active,BE2,True
35,2025-01-20 19:28:53.196357,PV shading detected,Cleared,BE2,False
36,2025-01-21 21:11:52.547275,PV shading detected,Active,BE2,True
37,2025-01-22 02:35:05.647664,PV hot spot detected,Active,BE3,True
38,2025-01-22 21:11:52.547275,PV shading detected,Cleared,BE2,False
39,2025-01-23 02:35:05.647664,PV hot spot detected,Cleared,BE3,False
40,2025-01-23 21:06:16.832856,PV shading detected,Active,BE2,True
41,2025-01-24 21:06:16.832856,PV shading detected,Cleared,BE2,False
42,2025-01-25 10:21:13.625634,Grounding system fault detected,Active,BE1,True
43,2025-01-25 10:49:22.601630,PV hot spot detected,Active,BE3,True
44,2025-01-26 10:21:13.625634,Grounding system fault detected,Cleared,BE1,False
45,2025-01-26 10:49:22.601630,PV hot spot detected,Cleared,BE3,False
46,2025-01-28 07:11:05.066445,Grounding system fault detected,Active,BE1,True
47,2025-01-29 07:11:05.066445,Grounding system fault detected,Cleared,BE1,False
48,2025-01-30 05:43:48.404372,PV hot spot detected,Active,BE3,False
49,2025-01-31 05:43:48.404372,PV hot spot detected,Cleared,BE3,False
50,2025-02-01 00:08:49.546787,PV hot spot detected,Active,BE3,False
51,2025-02-02 00:08:49.546787,PV hot spot detected,Cleared,BE3,False
52,2025-02-02 18:23:38.815140,PV hot spot detected,Active,BE3,False
53,2025-02-03 18:23:38.815140,PV hot spot detected,Cleared,BE3,False
54,2025-02-04 02:52:51.727402,PV shading detected,Active,BE2,True
55,2025-02-04 05:40:50.216659,PV hot spot detected,Active,BE3,True
56,2025-02-04 22:14:31.019838,Open circuit fault detected,Active,BE4,True
57,2025-02-05 02:52:51.727402,PV shading detected,Cleared,BE2,True
58,2025-02-05 05:40:50.216659,PV hot spot detected,Cleared,BE3,False
59,2025-02-05 22:14:31.019838,Open circuit fault detected,Cleared,BE4,False
60,2025-02-06 11:30:37.825971,PV shading detected,Active,BE2,True
61,2025-02-07 11:30:37.825971,PV shading detected,Cleared,BE2,False
62,2025-02-09 17:59:29.399506,PV hot spot detected,Active,BE3,False
63,2025-02-10 02:45:22.234099,PV shading detected,Active,BE2,True
64,2025-02-10 17:59:29.399506,PV hot spot detected,Cleared,BE3,True
65,2025-02-11 02:45:22.234099,PV shading detected,Cleared,BE2,False
