Timestamp,Description,Status,Basic_Event,System_Failure
2025-01-01 00:06:33.174707,PV interconnect fault detected,Active,BE5,
2025-01-01 01:22:26.234342,PV interconnect fault detected,Active,BE5,
2025-01-01 02:11:07.924051,PV solder bond failure detected,Active,BE11,
2025-01-01 02:57:13.751420,Diode fault detected,Active,BE13,
2025-01-01 04:24:35.347946,PV solder bond failure detected,Active,BE11,
2025-01-01 08:02:17.219031,Rack structure fault detected,Active,BE15,
2025-01-01 08:48:49.857564,Grounding system fault detected,Active,BE6,
2025-01-01 10:23:58.754398,Fuse installation fault detected,Active,BE2,
2025-01-01 11:38:25.436504,PV shading detected,Active,BE9,
2025-01-01 13:20:54.740038,Rack structure fault detected,Active,BE15,
2025-01-01 14:14:53.569972,PV interconnect fault detected,Active,BE5,
2025-01-01 14:18:29.503463,PV interconnect fault detected,Active,BE5,
2025-01-01 14:23:58.754398,Fuse installation fault detected,Cleared,BE2,
2025-01-01 16:22:49.750957,PV interconnect fault detected,Active,BE5,
2025-01-01 17:47:51.273064,Encapsulant fault detected,Active,BE16,
2025-01-01 19:38:25.436504,PV shading detected,Cleared,BE9,
2025-01-01 21:12:59.474849,PV cell breakage detected,Active,BE10,
2025-01-01 23:35:31.101379,Rack structure fault detected,Active,BE15,
2025-01-02 00:06:33.174707,PV interconnect fault detected,Cleared,BE5,
2025-01-02 00:41:42.453061,PV cell breakage detected,Active,BE10,
2025-01-02 01:22:26.234342,PV interconnect fault detected,Cleared,BE5,
2025-01-02 01:47:09.233772,PV interconnect fault detected,Active,BE5,
2025-01-02 02:38:48.102123,PV solder bond failure detected,Active,BE11,
2025-01-02 02:42:58.377096,PV solder bond failure detected,Active,BE11,
2025-01-02 02:57:13.751420,Diode fault detected,Cleared,BE13,
2025-01-02 06:29:55.299604,PV cell breakage detected,Active,BE10,
2025-01-02 07:17:03.966407,PV shading detected,Active,BE9,
2025-01-02 08:47:47.901716,PV cell breakage detected,Active,BE10,
2025-01-02 08:48:49.857564,Grounding system fault detected,Cleared,BE6,
2025-01-02 08:53:59.938584,PV shading detected,Active,BE9,
2025-01-02 11:10:57.497918,PV solder bond failure detected,Active,BE11,
2025-01-02 14:14:53.569972,PV interconnect fault detected,Cleared,BE5,
2025-01-02 14:18:29.503463,PV interconnect fault detected,Cleared,BE5,
2025-01-02 14:33:33.345989,Grounding system fault detected,Active,BE6,
2025-01-02 15:17:03.966407,PV shading detected,Cleared,BE9,
2025-01-02 15:33:33.207130,Rack structure fault detected,Active,BE15,
2025-01-02 15:42:07.756608,PV interconnect fault detected,Active,BE5,
2025-01-02 16:22:49.750957,PV interconnect fault detected,Cleared,BE5,
2025-01-02 16:53:59.938584,PV shading detected,Cleared,BE9,
2025-01-02 17:58:16.673582,PV cell breakage detected,Active,BE10,
2025-01-02 19:25:14.843849,PV solder bond failure detected,Active,BE11,
2025-01-02 19:56:30.082090,Rack structure fault detected,Active,BE15,
