Timestamp,Component,Description,Fault_Code,Severity,Status,Value
2025-01-01 11:50:40,PV_Hot_Spot,PV Hot Spot fault detected.,PV_516,Medium,Active,SimValue_41
2025-01-01 12:50:40,PV_Hot_Spot,PV Hot Spot fault detected.,PV_516,Medium,Cleared,SimValue_41
2025-01-01 17:46:14,PV_Solder_Bond_Failure,PV Solder Bond Failure fault detected.,PV_117,High,Active,SimValue_30
2025-01-02 01:46:14,PV_Solder_Bond_Failure,PV Solder Bond Failure fault detected.,PV_117,High,Cleared,SimValue_30
2025-01-02 03:35:38,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_902,Medium,Active,SimValue_76
2025-01-02 09:35:38,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_902,Medium,Cleared,SimValue_76
2025-01-02 20:57:39,PV_Solder_Bond_Failure,PV Solder Bond Failure fault detected.,PV_723,High,Active,SimValue_87
2025-01-03 03:57:39,PV_Solder_Bond_Failure,PV Solder Bond Failure fault detected.,PV_723,High,Cleared,SimValue_87
2025-01-04 19:44:54,PV_Shading,PV Shading fault detected.,PV_214,Low,Active,SimValue_13
2025-01-05 05:44:54,PV_Shading,PV Shading fault detected.,PV_214,Low,Cleared,SimValue_13
2025-01-06 16:38:36,PV_Broken_Cell,PV Broken Cell fault detected.,PV_287,High,Active,SimValue_35
2025-01-07 01:38:36,PV_Broken_Cell,PV Broken Cell fault detected.,PV_287,High,Cleared,SimValue_35
2025-01-08 08:29:10,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_467,Medium,Active,SimValue_13
2025-01-08 15:29:10,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_467,Medium,Cleared,SimValue_13
2025-01-08 22:45:22,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_848,Medium,Active,SimValue_55
2025-01-09 05:45:22,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_848,Medium,Cleared,SimValue_55
2025-01-10 13:05:51,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_967,High,Active,SimValue_50
2025-01-10 19:49:07,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_617,Medium,Active,SimValue_43
2025-01-10 20:05:51,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_967,High,Cleared,SimValue_50
2025-01-11 07:49:07,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_617,Medium,Cleared,SimValue_43
2025-01-11 14:30:21,PV_Broken_Cell,PV Broken Cell fault detected.,PV_504,High,Active,SimValue_24
2025-01-11 17:14:11,PV_Broken_Cell,PV Broken Cell fault detected.,PV_962,High,Active,SimValue_53
2025-01-11 19:51:54,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_890,High,Active,SimValue_50
2025-01-11 22:30:21,PV_Broken_Cell,PV Broken Cell fault detected.,PV_504,High,Cleared,SimValue_24
2025-01-12 02:14:11,PV_Broken_Cell,PV Broken Cell fault detected.,PV_962,High,Cleared,SimValue_53
2025-01-12 02:23:18,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_453,Medium,Active,SimValue_73
2025-01-12 05:51:54,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_890,High,Cleared,SimValue_50
