,Failure Rate,Unavailability,MTBF,MTTR
BE1,1e-06,5.594405594444574e-06,124.99930069930069,3.506267809369553
BE2,2e-06,6.793206793198614e-06,111.11035631035631,3.755681829803843
BE3,8e-06,5.794205794207308e-05,20.832126207126205,6.049007625834489
BE4,8e-06,5.614385614394202e-05,23.80818705104419,6.693610900952469
BE5,8.46e-05,0.001028771228771208,2.4246874484738563,12.497773734872005
BE6,4.9e-05,0.0005330669330669835,4.308047125288504,11.496401899398835
BE7,3e-06,1.2387612387643188e-05,90.90796476251022,5.6512480553260565
BE8,1.3e-05,9.630369630375668e-05,14.491357917444873,6.9431210825210625
BE9,8.8e-05,0.0005002997002997445,2.3628834522451543,5.917044941561236
BE10,0.0001115,0.0012781218781219295,1.8987107949085134,12.183898938232499
BE11,0.0001487,0.0017432567432568158,1.356327096816227,11.856260589831782
BE12,1.01e-05,6.473526473527169e-05,17.542723942723942,5.668990915101725
BE13,2.1e-06,1.598401598301713e-06,166.66640026640027,1.6822802135941828
BE14,5.2e-06,1.1588411588325798e-05,47.61849578992436,2.652175343342568
BE15,7.29e-05,0.0007828171828170305,3.0096903096903103,11.789120783342852
BE16,5.7e-05,0.0006701298701298208,3.7853404171585994,12.718722484291874
BE17,1e-06,9.990009990357152e-07,333.3330003330003,1.5824056997360572
BE18,2e-06,4.395604395579511e-06,124.99945054945056,2.6837741351231337
